id,birthdate,career_ast,career_fg,career_fg3,career_ft,career_g,career_per,career_pts,career_trb,career_ws,career_efg,college,draft_round,draft_year,height,name,position,shoots,weight,birth_year,birth_month,birth_day,career_ast normalized,career_fg normalized,career_fg3 normalized,career_ft normalized,career_g normalized,career_per normalized,career_pts normalized,career_trb normalized,career_ws normalized,career_efg normalized,height normalized,weight normalized,attended_college,Point Guard,Shooting Guard,Small Forward,Power Forward,Center,Forward,Guard,career_revenue,adjusted_career_revenue
adamsha01,1984-06-20,0.2,53.4,0.0,64.3,73,11.8,2.5,1.2,0.8,53.4,University of Arizona,2nd round,2006,76,Hassan Adams,Shooting Guard,Right,220,1984,6,20,-0.9476993101294696,1.181273834196535,-1.2930124028164887,-0.34105735467412224,-0.8528292832793385,-0.0625260646870143,-0.9857577450612098,-0.927081792641582,-0.6090306779645177,0.8920429209487638,-0.8047852631729693,0.23824004822337677,1,0,1,0,0,0,0,1,709881,407049
adamsjo01,1994-07-08,0.6,40.2,38.5,60.7,32,13.1,3.2,0.9,0.4,45.7,"University of California, Los Angeles",1st round,2014,77,Jordan Adams,Shooting Guard,Right,209,1994,7,8,-0.6796900438664699,-0.44966823197011785,1.0928398030317217,-0.5709453169059507,-0.9750537373621252,0.18085977736831224,-0.8455030428549202,-1.058157466815864,-0.6225405770897418,-0.03426114985432838,-0.5207003521633603,-0.18094518203990334,1,0,1,0,0,0,0,1,4213800,2114492
adamsmi01,1963-01-19,6.4,41.5,33.2,84.9,653,16.6,14.7,2.9,46.9,47.5,Boston College,3rd round,1985,70,Michael Adams,Point Guard,Right,162,1963,1,19,3.2064443169470254,-0.28904514969612966,0.7643978110578125,0.9744126514302328,0.8761995793552055,0.8361293521326538,1.4586813505341238,-0.18431963898731707,0.9479851962175505,0.182277464099641,-2.509294729230623,-1.972009347710282,1,1,0,0,0,0,0,1,6612000,5255741
adamsst01,1993-07-20,1.0,58.8,0.0,55.3,467,16.7,9.7,7.4,38.7,58.8,University of Pittsburgh,1st round,2013,84,Steven Adams,Center,Right,265,1993,7,20,-0.4116807776034703,1.8484774067192564,-1.2930124028164887,-0.9157772602536945,0.3217179096137828,0.8548513399830632,0.45686204906062633,1.7818154736269134,0.6710322641504582,1.5416587628106728,1.4678940249039027,1.95308871748225,1,0,0,0,0,1,0,0,32167307,15848592
addisra01,1964-07-22,0.9,44.9,28.2,77.2,379,10.5,5.8,2.1,4.9,46.6,Syracuse University,2nd round,1986,79,Rafael Addison,Small Forward,Right,215,1964,7,22,-0.4786830941692202,0.13104598855891725,0.4545468752333693,0.48270784332326516,0.0593824959726796,-0.3059119067423412,-0.3245570060887016,-0.5338547701187357,-0.4705542119309715,0.0740081571226563,0.04746946985585768,0.04770130719461309,1,0,0,1,0,0,1,0,1733000,1316591
adebaba01,1997-07-18,1.9,55.0,13.6,72.8,151,17.0,8.0,6.5,11.0,55.1,University of Kentucky,1st round,2017,82,Bam Adebayo,Center,Right,255,1997,7,18,0.1913400714882789,1.3789637816106748,-0.450217857374004,0.20173366726214054,-0.6203047120974515,0.9110173035342926,0.11624348655963733,1.3885884511040674,-0.2645282502713052,1.0965516119052912,0.8997242028846847,1.5720112354247224,1,0,0,0,0,1,0,0,2490360,1214259
afflaar01,1985-10-15,1.8,45.0,38.6,82.5,762,11.9,10.8,2.9,33.5,51.4,"University of California, Los Angeles",1st round,2007,77,Arron Afflalo,Shooting Guard and Small Forward,Right,210,1985,10,15,0.12433775492252906,0.14340161027230117,1.0990368217482107,0.8211540099423464,1.201137762160663,-0.04380407683660461,0.677262295384796,-0.18431963898731707,0.4954035755225459,0.6514444609999085,-0.5207003521633603,-0.1428374338341506,1,0,1,1,0,0,1,1,58852159,30277865
agerma01,1984-02-09,0.2,33.9,25.0,56.6,82,2.8,2.1,0.6,-0.9,36.8,Michigan State University,1st round,2006,77,Maurice Ager,Shooting Guard,Right,202,1984,2,9,-0.9476993101294696,-1.2280723999132939,0.2562422763057259,-0.8327621627810894,-0.8259995250660438,-1.7475049712238917,-1.0659032891790896,-1.189233140990146,-0.6664477492467198,-1.104924296626735,-0.5207003521633603,-0.4476994194801725,1,0,1,0,0,0,0,1,3006625,1710468
aguirma01,1959-12-10,3.1,48.4,31.2,74.1,923,19.0,20.0,5.0,67.8,49.8,DePaul University,1st round,1981,78,Mark Aguirre,Small Forward,Right,232,1959,12,10,0.995367870277278,0.563492748527348,0.640457436728035,0.28474876473474525,1.6810923257540453,1.2854570605424875,2.520609810096031,0.7332100802326572,1.6538774255105053,0.4589656930408242,-0.23661544115375133,0.6955330266924096,1,0,0,1,0,0,1,0,8176640,6922626
aingeda01,1959-03-17,4.0,46.9,37.8,84.6,1042,14.7,11.5,2.7,71.5,51.9,Brigham Young University,2nd round,1981,76,Danny Ainge,Shooting Guard and Point Guard,Right,175,1959,3,17,1.5983887193690272,0.37815842282659196,1.0494606720162996,0.9552553212442463,2.035841351018719,0.4804115829748682,0.8175169975910855,-0.27170342177017165,1.7788439924188275,0.7115940759871223,-0.8047852631729693,-1.4766086210354963,1,1,1,0,0,0,0,1,8800000,7188958
ajincal01,1988-05-06,0.5,50.3,28.6,79.7,293,14.9,5.3,3.9,7.5,50.7,N/A,1st round,2008,86,Alexis Ajinca,Power Forward and Center,Right,248,1988,5,6,-0.7466923604322199,0.7982495610816388,0.47933495009932486,0.6423522615398131,-0.19699074917658038,0.5178555586756879,-0.4247389362360513,0.2525992749269564,-0.3827398676170154,0.5672350000178097,2.0360638469231205,1.3052569979844535,0,0,0,0,1,1,1,0,18959122,9627727
alabiso01,1988-03-21,0.2,31.4,0.0,70.0,26,10.3,1.5,2.3,0.0,31.4,Florida State University,2nd round,2010,85,Solomon Alabi,Center,Right,251,1988,3,21,-0.9476993101294696,-1.5369629427478873,-1.2930124028164887,0.022931918859607107,-0.992940242837655,-0.34335588244316056,-1.1861216053559094,-0.44647098733588114,-0.6360504762149658,-1.7545401384886439,1.7519789359135116,1.4195802426017117,1,0,0,0,0,1,0,0,1600000,865671
alarima01,1963-12-11,1.1,47.5,25.2,77.5,325,13.0,7.5,3.4,8.4,48.3,Duke University,1st round,1986,80,Mark Alarie,Power Forward,Right,217,1963,12,11,-0.3446784610377203,0.4522921531068946,0.26863631373870356,0.5018651735092508,-0.1015960533070883,0.16213778951790256,0.016061556412287584,0.034139817969819665,-0.35234259458526135,0.27851684807918275,0.3315543808654667,0.12391680360611856,1,0,0,0,1,0,1,0,1532500,1296992
aldemfu01,1991-08-09,0.7,51.3,0.0,48.1,41,12.0,2.3,4.3,1.4,51.3,N/A,2nd round,2012,82,Furkan Aldemir,Power Forward,Right,240,1991,8,9,-0.6126877273007201,0.9218057782154763,-1.2930124028164887,-1.375553184717352,-0.9482239791488306,-0.025082088986194927,-1.0258305171201498,0.4273668404926657,-0.5887658292766818,0.6394145380024656,0.8997242028846847,1.0003950123384315,0,0,0,0,1,0,1,0,6000000,3024800
aldrico01,1988-10-31,0.5,52.7,0.0,73.8,339,16.6,3.1,3.3,9.6,52.7,University of Kansas,1st round,2010,83,Cole Aldrich,Center,Right,250,1988,10,31,-0.7466923604322199,1.0947844822028492,-1.2930124028164887,0.26559143454875966,-0.05986087386418552,0.8361293521326538,-0.8655394288843901,-0.009552073421607717,-0.3118128972095893,0.807833459966665,1.1838091138942937,1.3814724943959589,1,0,0,0,0,1,0,0,23883663,12084218
aldrila01,1985-07-19,2.0,49.1,28.3,81.0,950,20.9,19.6,8.4,107.0,49.5,University of Texas at Austin,1st round,2006,83,LaMarcus Aldridge,Power Forward and Center,Right,260,1985,7,19,0.25834238805402887,0.6499821005210346,0.46074389394985826,0.7253673590124177,1.761581600393929,1.6411748297002726,2.4404642659781515,2.218734387541187,2.9778475397824593,0.4228759240484962,1.1838091138942937,1.7625499764534862,1,0,0,0,1,1,1,0,147618922,76359137
alexaco01,1973-06-22,2.7,38.9,35.4,75.6,307,12.4,5.5,1.6,3.0,46.8,University of Virginia,1st round,1995,73,Cory Alexander,Shooting Guard and Point Guard,Right,185,1973,6,22,0.7273586040142784,-0.610291314244107,0.9007322228205671,0.38053541566467397,-0.1552555697336776,0.04980586241544414,-0.3846661641771114,-0.7523142270758725,-0.5347262327757856,0.09806800311754132,-1.6570399962017963,-1.095531138977969,1,1,1,0,0,0,0,1,12161158,8122799
alexaco02,1977-04-27,1.2,42.2,33.9,81.3,187,11.5,9.0,2.2,4.1,43.5,"University of Virginia, California State University, Fresno",1st round,2000,77,Courtney Alexander,Point Guard and Shooting Guard,Right,205,1977,4,27,-0.2776761444719705,-0.2025557977024431,0.8077769420732341,0.7445246891984033,-0.512985679244273,-0.11869202823824368,0.31660734685433684,-0.49016287872730835,-0.49757401018141956,-0.2989194557980695,-0.5207003521633603,-0.33337617486291427,1,1,1,0,0,0,0,1,6502302,4237168
alexajo01,1986-12-26,0.7,41.0,34.0,69.8,67,9.9,4.2,1.8,0.5,44.2,West Virginia University,1st round,2008,80,Joe Alexander,Small Forward,Right,230,1986,12,26,-0.6126877273007201,-0.35082325826304833,0.8139739607897232,0.010160365402283095,-0.8707157887548682,-0.41824383384479963,-0.6451391825602207,-0.6649304442930178,-0.6191631023084357,-0.2147099948159698,0.3315543808654667,0.6193175302809041,1,0,0,1,0,0,1,0,5076945,2807530
alexavi01,1969-08-31,0.9,51.8,28.6,63.4,286,13.7,8.9,4.8,8.8,52.2,Iowa State University,1st round,1991,81,Victor Alexander,Center,Right,265,1969,8,31,-0.4786830941692202,0.983583886782395,0.47933495009932486,-0.39852934523207934,-0.21785833889803177,0.2931917044707707,0.29657096082486695,0.6458262974498025,-0.3388326954600373,0.7476838449794512,0.6156392918750757,1.95308871748225,1,0,0,0,0,1,0,0,6477850,4853559
alforst01,1964-11-23,1.0,45.9,32.4,87.0,169,14.4,4.4,0.9,3.2,48.7,Indiana University,2nd round,1987,74,Steve Alford,Point Guard,Right,183,1964,11,23,-0.4116807776034703,0.2546022056927546,0.7148216613259013,1.1085139627321325,-0.5666451956708622,0.42424561942363914,-0.6050664105012807,-1.058157466815864,-0.5279712832131737,0.3266365400689545,-1.3729550851921872,-1.1717466353894745,1,1,0,0,0,0,0,1,500000,435331
allenja01,1998-04-21,1.0,59.0,18.3,73.2,152,18.1,9.6,7.0,11.9,59.5,University of Texas at Austin,1st round,2017,83,Jarrett Allen,Center,Right,237,1998,4,21,-0.4116807776034703,1.8731886501460242,-0.15895797769902759,0.22727677417678857,-0.6173236278515299,1.1169591698888002,0.43682566303115644,1.6070479080612041,-0.23413097723955117,1.6258682237927724,1.1838091138942937,0.8860717677211732,1,0,0,0,0,1,0,0,1713720,835582
allenje01,1973-01-28,1.7,35.0,31.7,63.0,117,8.5,2.9,1.1,0.2,41.1,University of Pennsylvania,2nd round,1995,76,Jerome Allen,Shooting Guard,Right,184,1973,1,28,0.05733543835677909,-1.0921605610660725,0.6714425303104793,-0.4240724521467269,-0.7216615764587868,-0.6803516637505361,-0.9056122009433302,-0.9707736840330092,-0.6292955266523538,-0.5876376077366956,-0.8047852631729693,-1.1336388871837217,1,0,1,0,0,0,0,1,992500,699744
allenla01,1989-02-04,1.0,47.1,13.3,68.2,388,12.5,4.8,4.8,13.8,47.2,Temple University,2nd round,2011,81,Lavoy Allen,Power Forward and Center,Right,260,1989,2,4,-0.4116807776034703,0.4028696662533598,-0.4688089135234705,-0.09201206225630718,0.08621225418597424,0.06852785026585383,-0.5249208663834011,0.6458262974498025,-0.16995895639473707,0.14618769510731305,0.6156392918750757,1.7625499764534862,1,0,0,0,1,1,1,0,15181767,7735070
allenra02,1975-07-20,3.4,45.2,40.0,89.4,1300,18.6,18.9,4.1,145.1,53.0,University of Connecticut,1st round,1996,77,Ray Allen,Shooting Guard,Right,205,1975,7,20,1.1963748199745277,0.16811285369906898,1.1857950837790547,1.261772604220019,2.804961086466499,1.2105691091408488,2.3002095637718614,0.33998305770981097,4.264665431460047,0.8439232289589929,-0.5207003521633603,-0.33337617486291427,1,0,1,0,0,0,0,1,184356410,110795442
allento01,1982-01-11,1.3,47.5,28.2,70.9,820,14.2,8.1,3.5,38.7,48.7,"Butler County Community College, Oklahoma State University",1st round,2004,76,Tony Allen,Shooting Guard and Small Forward and Point Guard,Right,213,1982,1,11,-0.21067382790622052,0.4522921531068946,0.4545468752333693,0.0804039094175647,1.3740406484241174,0.38680164372281944,0.1362798725891072,0.07783170936124705,0.6710322641504582,0.3266365400689545,-0.8047852631729693,-0.028514189216892385,1,1,1,1,0,0,1,1,40698419,21459492
almonmo01,1985-02-02,0.3,38.1,29.2,74.3,38,7.0,3.1,1.2,0.0,41.2,Rice University,1st round,2007,78,Morris Almond,Shooting Guard,Right,225,1985,2,2,-0.8806969935637197,-0.7091362879511766,0.5165170623982579,0.29752031819206926,-0.9571672318865955,-0.9611814815066824,-0.8655394288843901,-0.927081792641582,-0.6360504762149658,-0.5756076847392526,-0.23661544115375133,0.42877878925214047,1,0,1,0,0,0,0,1,2087400,1174305
alstode01,1972-08-20,0.7,48.9,14.3,48.7,139,11.7,5.4,3.8,2.6,49.0,Duquesne University,2nd round,1994,83,Derrick Alston,Center,Right,225,1972,8,20,-0.6126877273007201,0.6252708570942667,-0.4068387263585819,-1.3372385243453806,-0.6560777230485111,-0.08124805253742431,-0.40470255020658125,0.208907383535529,-0.5482361319010096,0.36272630906128245,1.1838091138942937,0.42877878925214047,1,0,0,0,0,1,0,0,500000,368359
alstora01,1976-07-24,4.8,38.3,35.4,72.9,671,13.2,10.1,2.8,32.9,46.1,"California State University, Fresno",2nd round,1998,74,Rafer Alston,Point Guard,Right,171,1976,7,24,2.1344072518950266,-0.6844250445244096,0.9007322228205671,0.20811944399080298,0.9298590957817949,0.19958176521872192,0.5370075931785062,-0.22801153037874444,0.4751387268347098,0.0138585421354425,-1.3729550851921872,-1.6290396138585073,1,1,0,0,0,0,0,1,28129531,16418045
aminual01,1990-09-21,1.2,42.3,33.7,74.7,670,12.4,7.7,6.1,27.4,48.2,Wake Forest University,1st round,2010,81,Al-Farouq Aminu,Power Forward and Small Forward,Right,220,1990,9,21,-0.2776761444719705,-0.19020017598906008,0.7953829046402567,0.32306342510671726,0.9268780115358732,0.04980586241544414,0.05613432847122752,1.2138208855383579,0.2893776138628795,0.26648692508174066,0.6156392918750757,0.23824004822337677,1,0,0,1,1,0,1,0,35447764,17983414
anderda03,1980-06-23,0.6,44.0,34.7,67.4,103,11.7,4.9,2.8,1.5,47.8,N/A,2nd round,2002,83,David Andersen,Power Forward and Center,Right,245,1980,6,23,-0.6796900438664699,0.019845393138463785,0.8573530918051453,-0.1430982760856023,-0.7633967559016896,-0.08124805253742431,-0.504884480353931,-0.22801153037874444,-0.5853883544953757,0.21836723309196893,1.1838091138942937,1.190933753367195,0,0,0,0,1,1,1,0,4800000,2629166
anderde01,1974-07-18,3.4,40.8,34.1,85.3,615,15.3,12.0,3.2,43.9,46.3,"Ohio State University, University of Kentucky",1st round,1997,77,Derek Anderson,Shooting Guard and Small Forward and Point Guard,Right,194,1974,7,18,1.1963748199745277,-0.37553450168981617,0.8201709795062121,0.9999557583448798,0.7629183780101837,0.592743510077327,0.9176989277384353,-0.05324396481303491,0.8466609527783703,0.03791838813032751,-0.5207003521633603,-0.7525614051261944,1,1,1,1,0,0,1,1,58973127,36950108
andergr01,1964-06-22,0.6,49.2,8.7,55.7,680,13.0,7.3,6.2,18.7,49.2,University of Houston,1st round,1987,82,Greg Anderson,Center and Power Forward,Right,230,1964,6,22,-0.6796900438664699,0.6623377222344184,-0.7538717744819581,-0.8902341533390465,0.9566888539950895,0.16213778951790256,-0.02401121564665235,1.2575127769297854,-0.004462692110742878,0.3867861550561683,0.8997242028846847,0.6193175302809041,1,0,0,0,1,1,1,0,5716250,4506316
anderja01,1989-03-25,1.2,41.1,32.1,75.5,247,9.9,5.8,2.3,3.3,48.8,Oklahoma State University,1st round,2010,78,James Anderson,Small Forward and Shooting Guard,Right,213,1989,3,25,-0.2776761444719705,-0.3384676365496644,0.6962306051764349,0.37414963893601244,-0.3341206244889753,-0.41824383384479963,-0.3245570060887016,-0.44647098733588114,-0.5245938084318675,0.3386664630663966,-0.23661544115375133,-0.028514189216892385,1,0,1,1,0,0,1,1,5374616,2835015
anderju01,1993-11-19,0.7,41.9,30.2,77.8,216,12.9,5.3,2.6,4.7,49.0,University of Virginia,1st round,2015,78,Justin Anderson,Small Forward,Left,230,1993,11,19,-0.6126877273007201,-0.23962266284259487,0.5784872495631465,0.5210225036952363,-0.4265342361125457,0.14341580166749288,-0.4247389362360513,-0.315395313161599,-0.47730916149358354,0.36272630906128245,-0.23661544115375133,0.6193175302809041,1,0,0,1,0,0,1,0,4542600,2249830
anderke01,1970-10-09,6.1,42.1,34.6,79.0,858,16.4,12.6,3.1,62.5,44.9,Georgia Institute of Technology,1st round,1991,72,Kenny Anderson,Point Guard,Left,168,1970,10,9,3.005437367249775,-0.21491141941582703,0.8511560730886564,0.5976518244391794,1.4873218497691392,0.7986853764318338,1.0379172439152549,-0.0969358562044623,1.4748712621012872,-0.13050053383387097,-1.9411249072114054,-1.7433628584757654,1,1,0,0,0,0,0,1,63425200,44100429
anderky01,1993-09-20,1.9,49.2,32.4,70.6,300,13.5,5.3,3.9,15.4,51.4,"University of California, Los Angeles",1st round,2014,81,Kyle Anderson,Small Forward,Right,230,1993,9,20,0.1913400714882789,0.6623377222344184,0.7148216613259013,0.06124657923157823,-0.176123159455129,0.25574772876995133,-0.4247389362360513,0.2525992749269564,-0.115919359893841,0.6514444609999085,0.6156392918750757,0.6193175302809041,1,0,0,1,0,0,1,0,5580343,2769633
anderni01,1968-01-20,2.6,44.6,35.6,66.7,800,15.8,14.4,5.1,55.3,50.0,University of Illinois at Urbana-Champaign,1st round,1989,78,Nick Anderson,Shooting Guard and Small Forward,Right,205,1968,1,20,0.6603562874485285,0.09397912341876638,0.9131262602535449,-0.1877987131862359,1.3144189635056849,0.6863534493293757,1.3985721924457142,0.7769019716240844,1.2316930778472548,0.48302553903571005,-0.23661544115375133,-0.33337617486291427,1,0,1,1,0,0,1,1,42530718,29818164
anderri01,1960-11-19,1.5,41.2,33.3,76.2,407,12.3,5.6,3.5,7.6,44.6,"University of California, Santa Barbara",2nd round,1982,82,Richard Anderson,Center and Power Forward,Right,240,1960,11,19,-0.07666919477472071,-0.3261120148362805,0.7705948297743009,0.418850076036646,0.14285285485848517,0.031083874565034454,-0.3646297781476415,0.07783170936124705,-0.3793623928357094,-0.16659030282619894,0.8997242028846847,1.0003950123384315,1,0,0,0,1,1,1,0,525000,475644
anderro01,1958-10-15,1.4,47.1,28.7,81.4,664,14.3,10.6,3.5,24.2,47.9,"California State University, Fresno",2nd round,1984,79,Ron Anderson,Small Forward,Right,215,1958,10,15,-0.14367151134047068,0.4028696662533598,0.4855319688158136,0.7509104659270658,0.9089915060603435,0.40552363157322946,0.6371895233258559,0.07783170936124705,0.18129842086108738,0.23039715608941186,0.04746946985585768,0.04770130719461309,1,0,0,1,0,0,1,0,3290000,2694148
anderry01,1988-05-06,0.9,42.2,38.0,85.4,647,16.5,12.4,5.3,46.7,52.3,University of California,1st round,2008,82,Ryan Anderson,Power Forward,Right,240,1988,5,6,-0.4786830941692202,-0.2025557977024431,1.0618547094492774,1.0063415350735423,0.8583130738796758,0.8174073642822438,0.9978444718563152,0.8642857544069392,0.9412302466549386,0.7597137679768933,0.8997242028846847,1.0003950123384315,1,0,0,0,1,0,1,0,78509780,39672428
andersh01,1973-12-31,1.4,45.7,31.6,73.9,719,11.7,7.4,3.1,23.6,49.2,University of Georgia,2nd round,1996,78,Shandon Anderson,Small Forward and Shooting Guard,Right,208,1973,12,31,-0.14367151134047068,0.22989096226598765,0.6652455115939906,0.27197721127742214,1.072951139586033,-0.08124805253742431,-0.003974829617182293,-0.0969358562044623,0.16103357217325143,0.3867861550561683,-0.23661544115375133,-0.21905293024565606,1,0,1,1,0,0,1,1,49573425,31328559
anderwi01,1967-01-08,3.8,47.1,26.6,78.6,555,13.8,12.2,3.8,27.9,47.9,University of Georgia,1st round,1988,79,Willie Anderson,Shooting Guard and Small Forward,Right,190,1967,1,8,1.4643840862375272,0.4028696662533598,0.3553945757695477,0.5721087175245314,0.584053323254886,0.3119136923211807,0.9577716997973751,0.208907383535529,0.3062649877694095,0.23039715608941186,0.04746946985585768,-0.9049923979492053,1,0,1,1,0,0,1,1,10810000,8305475
andrima01,1986-03-12,0.0,0.0,0.0,0.0,6,15.5,0.0,0.7,0.0,0.0,N/A,2nd round,2005,86,Martynas Andriuskevicius,Center,Right,240,1986,3,12,-1.0817039432609694,-5.41662816075038,-1.2930124028164887,-4.447111791203733,-1.0525619277560876,0.6301874857781463,-1.4866673957979586,-1.1455412495987187,-0.6360504762149658,-5.531935959685671,2.0360638469231205,1.0003950123384315,0,0,0,0,0,1,0,0,1062971,629307
anigbik01,1998-10-17,0.1,33.3,0.0,83.3,14,17.0,0.9,0.9,0.0,33.3,"University of California, Los Angeles",2nd round,2017,82,Ike Anigbogu,Center,Right,250,1998,10,17,-1.0147016266952196,-1.3022061301935963,-1.2930124028164887,0.8722402237716416,-1.0287132537887145,0.9110173035342926,-1.306339921532729,-1.058157466815864,-0.6360504762149658,-1.5259716015372315,0.8997242028846847,1.3814724943959589,1,0,0,0,0,1,0,0,950000,463204
anslemi01,1967-02-08,0.4,51.3,0.0,72.2,149,17.0,6.9,4.2,6.4,51.3,University of Alabama,2nd round,1989,79,Michael Ansley,Small Forward,Right,225,1967,2,8,-0.8136946769979698,0.9218057782154763,-1.2930124028164887,0.16341900689016942,-0.6262668805892948,0.9110173035342926,-0.10415675976453204,0.38367494910123856,-0.41989209021138146,0.6394145380024656,0.04746946985585768,0.42877878925214047,1,0,0,1,0,0,1,0,200000,166438
anstech01,1975-01-01,0.8,41.3,13.8,75.5,155,13.2,5.2,3.4,2.8,41.6,N/A,1st round,1997,84,Chris Anstey,Center,Right,249,1975,1,1,-0.5456854107349701,-0.31375639312289744,-0.4378238199410262,0.37414963893601244,-0.608380375113765,0.19958176521872192,-0.4447753222655212,0.034139817969819665,-0.5414811823383976,-0.5274879927494818,1.4678940249039027,1.343364746190206,0,0,0,0,0,1,0,0,2812820,1956154
