,DATE,GDPDEF,year,inflation
78,1966-07-01,18.369,1966,35.19639777735198
79,1966-10-01,18.523,1966,35.49147346234911
80,1967-01-01,18.6,1967,35.63901130484768
81,1967-04-01,18.695,1967,35.821038513125124
82,1967-07-01,18.874,1967,36.16401609503736
83,1967-10-01,19.084,1967,36.56639202912436
84,1968-01-01,19.295,1968,36.970684039087956
85,1968-04-01,19.499,1968,37.36156351791531
86,1968-07-01,19.69,1968,37.727534010346815
87,1968-10-01,19.968,1968,38.26020310404292
88,1969-01-01,20.174,1969,38.654914734623496
89,1969-04-01,20.431,1969,39.147346234910906
90,1969-07-01,20.718,1969,39.69726001149646
91,1969-10-01,20.985,1969,40.20885227054992
92,1970-01-01,21.28,1970,40.77409465414831
93,1970-04-01,21.577,1970,41.34316918949991
94,1970-07-01,21.754,1970,41.682314619658946
95,1970-10-01,22.042,1970,42.2341444721211
96,1971-01-01,22.376,1971,42.874113814907076
97,1971-04-01,22.67,1971,43.437440122628864
98,1971-07-01,22.901,1971,43.880053650124545
99,1971-10-01,23.092,1971,44.246024142556045
100,1972-01-01,23.443,1972,44.91856677524431
101,1972-04-01,23.589,1972,45.19831385322859
102,1972-07-01,23.815,1972,45.63134700134126
103,1972-10-01,24.118,1972,46.21191799195248
104,1973-01-01,24.396,1973,46.7445870856486
105,1973-04-01,24.771,1973,47.463115539375366
106,1973-07-01,25.254,1973,48.38858018777544
107,1973-10-01,25.757,1973,49.352366353707616
108,1974-01-01,26.243,1974,50.2835792297375
109,1974-04-01,26.863,1974,51.47154627323242
110,1974-07-01,27.65,1974,52.97949798812033
111,1974-10-01,28.463,1974,54.53726767579997
112,1975-01-01,29.11,1975,55.77696876796321
113,1975-04-01,29.543,1975,56.606629622533056
114,1975-07-01,30.065,1975,57.60682123012072
115,1975-10-01,30.568,1975,58.57060739605289
116,1976-01-01,30.891,1976,59.189499904196204
117,1976-04-01,31.202,1976,59.78539950182028
118,1976-07-01,31.605,1976,60.55757808009198
119,1976-10-01,32.172,1976,61.64399310212684
120,1977-01-01,32.69,1977,62.636520406208085
121,1977-04-01,33.151,1977,63.51983138532287
122,1977-07-01,33.554,1977,64.29200996359457
123,1977-10-01,34.279,1977,65.68116497413298
124,1978-01-01,34.778,1978,66.63728683655873
125,1978-04-01,35.443,1978,67.91147729450087
126,1978-07-01,36.044,1978,69.06303889634029
127,1978-10-01,36.782,1978,70.47710289327458
128,1979-01-01,37.452,1979,71.76087373059973
129,1979-04-01,38.37,1979,73.51983138532286
130,1979-07-01,39.208,1979,75.1255029699176
131,1979-10-01,39.936,1979,76.52040620808584
132,1980-01-01,40.775,1980,78.1279938685572
133,1980-04-01,41.745,1980,79.98658746886377
134,1980-07-01,42.678,1980,81.77428626173597
135,1980-10-01,43.79,1980,83.90496263652041
136,1981-01-01,44.943,1981,86.11419812224564
137,1981-04-01,45.834,1981,87.82142172830045
138,1981-07-01,46.696,1981,89.47307913393371
139,1981-10-01,47.503,1981,91.01935236635371
140,1982-01-01,48.157,1982,92.27246598965318
141,1982-04-01,48.783,1982,93.47192948840775
142,1982-07-01,49.475,1982,94.79785399501822
143,1982-10-01,49.987,1982,95.77888484383983
144,1983-01-01,50.364,1983,96.5012454493198
145,1983-04-01,50.739,1983,97.21977390304656
146,1983-07-01,51.278,1983,98.2525388005365
147,1983-10-01,51.667,1983,98.99789231653574
148,1984-01-01,52.19,1984,100.0
149,1984-04-01,52.636,1984,100.85456984096571
150,1984-07-01,53.104,1984,101.75129335121672
151,1984-10-01,53.501,1984,102.51197547422878
152,1985-01-01,54.03,1985,103.52557961295268
153,1985-04-01,54.378,1985,104.19237401801112
154,1985-07-01,54.706,1985,104.82084690553748
155,1985-10-01,55.012,1985,105.40716612377851
156,1986-01-01,55.286,1986,105.9321709139682
157,1986-04-01,55.495,1986,106.33263077217858
158,1986-07-01,55.723,1986,106.76949607204446
159,1986-10-01,56.026,1986,107.3500670626557
160,1987-01-01,56.382,1987,108.03219007472697
161,1987-04-01,56.773,1987,108.78137574247941
162,1987-07-01,57.202,1987,109.60337229354283
163,1987-10-01,57.658,1987,110.47710289327459
164,1988-01-01,58.11,1988,111.34316918949992
165,1988-04-01,58.676,1988,112.42766813565818
166,1988-07-01,59.377,1988,113.77083732515808
167,1988-10-01,59.89,1988,114.75378424985631
168,1989-01-01,60.515,1989,115.95133167273426
169,1989-04-01,61.159,1989,117.18528453726768
170,1989-07-01,61.606,1989,118.04177045411
171,1989-10-01,62.045,1989,118.88292776393946
172,1990-01-01,62.714,1990,120.164782525388
173,1990-04-01,63.416,1990,121.50986779076452
174,1990-07-01,63.96,1990,122.55221306763748
175,1990-10-01,64.436,1990,123.46426518490135
176,1991-01-01,65.067,1991,124.67330906303889
177,1991-04-01,65.545,1991,125.58919333205596
178,1991-07-01,66.057,1991,126.57022418087757
179,1991-10-01,66.449,1991,127.32132592450661
180,1992-01-01,66.696,1992,127.79459666602799
181,1992-04-01,67.097,1992,128.56294309254648
182,1992-07-01,67.425,1992,129.1914159800728
183,1992-10-01,67.889,1992,130.0804751868174
184,1993-01-01,68.27,1993,130.8105000958038
185,1993-04-01,68.676,1993,131.58842690170533
186,1993-07-01,69.084,1993,132.37018585936005
187,1993-10-01,69.461,1993,133.09254646484
188,1994-01-01,69.793,1994,133.7286836558728
189,1994-04-01,70.13,1994,134.37440122628857
190,1994-07-01,70.532,1994,135.14466372868367
191,1994-10-01,70.915,1994,135.87852078942328
192,1995-01-01,71.3,1995,136.61621000191607
193,1995-04-01,71.642,1995,137.27150795171488
194,1995-07-01,71.995,1995,137.94788273615637
195,1995-10-01,72.342,1995,138.6127610653382
196,1996-01-01,72.69,1996,139.27955547039664
197,1996-04-01,72.991,1996,139.85629430925465
198,1996-07-01,73.23,1996,140.31423644376318
199,1996-10-01,73.621,1996,141.06342211151562
200,1997-01-01,74.06,1997,141.9045794213451
201,1997-04-01,74.21,1997,142.1919908028358
202,1997-07-01,74.532,1997,142.8089672351025
203,1997-10-01,74.777,1997,143.27840582487067
204,1998-01-01,74.887,1998,143.4891741712972
205,1998-04-01,75.063,1998,143.82640352557962
206,1998-07-01,75.386,1998,144.44529603372294
207,1998-10-01,75.593,1998,144.84192374018014
208,1999-01-01,75.835,1999,145.30561410231846
209,1999-04-01,76.122,1999,145.855527878904
210,1999-07-01,76.393,1999,146.3747844414639
211,1999-10-01,76.815,1999,147.18336846139107
212,2000-01-01,77.325,2000,148.1605671584595
213,2000-04-01,77.807,2000,149.08411573098297
214,2000-07-01,78.263,2000,149.95784633071472
215,2000-10-01,78.688,2000,150.7721785782717
216,2001-01-01,79.204,2001,151.76087373059974
217,2001-04-01,79.683,2001,152.6786740754934
218,2001-07-01,79.996,2001,153.27840582487067
219,2001-10-01,80.245,2001,153.75550871814525
220,2002-01-01,80.504,2002,154.25177237018588
221,2002-04-01,80.783,2002,154.7863575397586
222,2002-07-01,81.172,2002,155.53171105575782
223,2002-10-01,81.638,2002,156.42460241425562
224,2003-01-01,82.045,2003,157.20444529603373
225,2003-04-01,82.328,2003,157.74669476911288
226,2003-07-01,82.796,2003,158.64341827936389
227,2003-10-01,83.306,2003,159.62061697643227
228,2004-01-01,83.895,2004,160.74918566775244
229,2004-04-01,84.569,2004,162.04062080858404
230,2004-07-01,85.112,2004,163.0810500095804
231,2004-10-01,85.77,2004,164.3418279363863
232,2005-01-01,86.453,2005,165.65050776010733
233,2005-04-01,87.082,2005,166.85571948649167
234,2005-07-01,87.874,2005,168.3732515807626
235,2005-10-01,88.585,2005,169.73558152902854
236,2006-01-01,89.209,2006,170.93121287602992
237,2006-04-01,90.0,2006,172.44682889442424
238,2006-07-01,90.628,2006,173.650124544932
239,2006-10-01,90.967,2006,174.29967426710098
240,2007-01-01,91.839,2007,175.9704924315003
241,2007-04-01,92.453,2007,177.1469630197356
242,2007-07-01,92.933,2007,178.06667944050588
243,2007-10-01,93.327,2007,178.82161333588812
244,2008-01-01,93.655,2008,179.45008622341447
245,2008-04-01,94.13,2008,180.36022226480168
246,2008-07-01,94.84,2008,181.72063613719106
247,2008-10-01,95.065,2008,182.1517532094271
248,2009-01-01,95.018,2009,182.0616976432267
249,2009-04-01,94.852,2009,181.7436290477103
250,2009-07-01,94.954,2009,181.93906878712397
251,2009-10-01,95.267,2009,182.53880053650124
252,2010-01-01,95.526,2010,183.03506418854187
253,2010-04-01,95.992,2010,183.9279555470397
254,2010-07-01,96.282,2010,184.48361755125504
255,2010-10-01,96.846,2010,185.5642843456601
256,2011-01-01,97.346,2011,186.52232228396247
257,2011-04-01,97.989,2011,187.7543590726193
258,2011-07-01,98.595,2011,188.91550105384175
259,2011-10-01,98.714,2011,189.1435140831577
260,2012-01-01,99.313,2012,190.29124353324394
261,2012-04-01,99.713,2012,191.0576738838858
262,2012-07-01,100.23,2012,192.04828511209047
263,2012-10-01,100.738,2012,193.02165165740564
264,2013-01-01,101.141,2013,193.79383023567735
265,2013-04-01,101.428,2013,194.3437440122629
266,2013-07-01,101.906,2013,195.25962828127996
267,2013-10-01,102.515,2013,196.42651849013222
268,2014-01-01,102.942,2014,197.24468288944243
269,2014-04-01,103.525,2014,198.36175512550298
270,2014-07-01,103.977,2014,199.22782142172832
271,2014-10-01,104.15,2014,199.55930254838094
272,2015-01-01,104.113,2015,199.48840774094654
273,2015-04-01,104.677,2015,200.56907453535163
274,2015-07-01,104.989,2015,201.1668902088523
275,2015-10-01,104.979,2015,201.14772945008625
276,2016-01-01,104.895,2016,200.98677907645143
277,2016-04-01,105.636,2016,202.40659130101554
278,2016-07-01,105.929,2016,202.9680015328607
279,2016-10-01,106.487,2016,204.03717187200613
280,2017-01-01,107.038,2017,205.09292968001535
281,2017-04-01,107.371,2017,205.7309829469247
282,2017-07-01,107.91,2017,206.76374784441464
283,2017-10-01,108.653,2017,208.18739222073197
284,2018-01-01,109.32,2018,209.46541483042728
285,2018-04-01,110.258,2018,211.2626940026825
286,2018-07-01,110.629,2018,211.97355815290288
287,2018-10-01,111.132,2018,212.93734431883504
288,2019-01-01,111.562,2019,213.76125694577507
289,2019-04-01,112.184,2019,214.95305614102318
290,2019-07-01,112.55,2019,215.65433991186052
291,2019-10-01,112.963,2019,216.44567924889827
292,2020-01-01,113.418,2020,217.31749377275344
293,2020-04-01,112.993,2020,216.5031615251964
294,2020-07-01,113.971,2020,218.37708373251584
295,2020-10-01,114.692,2020,219.7585744395478
296,2021-01-01,116.12,2021,222.49473079133935
297,2021-04-01,117.922,2021,225.94749952098104
298,2021-07-01,119.712,2021,229.3772753401035
299,2021-10-01,121.708,2021,233.20176278980648
300,2022-01-01,124.174,2022,237.92680590151372
301,2022-04-01,126.907,2022,243.16344127227438
302,2022-07-01,128.177,2022,245.59685763556237
